true_temperature_c,decoded_min_c,decoded_max_c,error_min_c,error_max_c,pull_only_error_min_c,pull_only_error_max_c
64.0,62.059935080,65.899259647,-1.940064920,1.899259647,-1.445751213,1.386805995
64.5,62.551750661,66.407257346,-1.948249339,1.907257346,-1.449563081,1.390525906
65.0,63.044396569,66.914460527,-1.955603431,1.914460527,-1.453325938,1.394231692
65.5,63.536402482,67.422157056,-1.963597518,1.922157056,-1.457242083,1.397818334
66.0,64.028642703,67.930114571,-1.971357297,1.930114571,-1.461168164,1.401465531
66.5,64.521002710,68.438022481,-1.978997290,1.938022481,-1.465103924,1.405074901
67.0,65.013354390,68.945828220,-1.986645610,1.945828220,-1.468879945,1.408770992
67.5,65.505428003,69.453083959,-1.994571997,1.953083959,-1.472759786,1.412496402
68.0,65.998477783,69.961118465,-2.001522217,1.961118465,-1.476597882,1.416156794
68.5,66.490967918,70.468353108,-2.009032082,1.968353108,-1.480497768,1.419833916
69.0,66.982324755,70.975887222,-2.017675245,1.975887222,-1.484472799,1.423499244
69.5,67.475632068,71.483697833,-2.024367932,1.983697833,-1.488339652,1.427202688
70.0,67.967505511,71.991273818,-2.032494489,1.991273818,-1.492230018,1.431029294
70.5,68.459201090,72.498756932,-2.040798910,1.998756932,-1.496149117,1.434519549
71.0,68.952366998,73.005884586,-2.047633002,2.005884586,-1.500059770,1.438255185
71.5,69.444952013,73.514162244,-2.055047987,2.014162244,-1.504049253,1.441947665
72.0,69.936735867,74.023227200,-2.063264133,2.023227200,-1.507667295,1.445917851
72.5,70.429430683,74.531011761,-2.070569317,2.031011761,-1.511577136,1.449625903
73.0,70.920844279,75.037423337,-2.079155721,2.037423337,-1.515430958,1.453207476
73.5,71.414529125,75.546125975,-2.085470875,2.046125975,-1.519553178,1.456824886
74.0,71.906416004,76.054801469,-2.093583996,2.054801469,-1.523414231,1.460682058
74.5,72.398378202,76.561152120,-2.101621798,2.061152120,-1.527148568,1.464584329
75.0,72.890161461,77.069087688,-2.109838539,2.069087688,-1.530941534,1.468297928
75.5,73.383537146,77.578763666,-2.116462854,2.078763666,-1.534962115,1.471796621
76.0,73.874195454,78.085173260,-2.125804546,2.085173260,-1.539011731,1.475684339
76.5,74.367974670,78.592861606,-2.132025330,2.092861606,-1.542892831,1.479347896
77.0,74.858661134,79.101298495,-2.141338866,2.101298495,-1.546565347,1.483385903
77.5,75.350243945,79.610473873,-2.149756055,2.110473873,-1.550629291,1.486934886
78.0,75.844635628,80.117866591,-2.155364372,2.117866591,-1.554436795,1.490846864
78.5,76.335007737,80.625652687,-2.164992263,2.125652687,-1.558642046,1.494438651
79.0,76.827776127,81.133384800,-2.172223873,2.133384800,-1.562398023,1.498393802
79.5,77.320824204,81.640933393,-2.179175796,2.140933393,-1.566436389,1.502266990
80.0,77.811302614,82.150793651,-2.188697386,2.150793651,-1.570244032,1.506021086
80.5,78.303866266,82.657485216,-2.196133734,2.157485216,-1.574347655,1.509869760
81.0,78.795923149,83.166230885,-2.204076851,2.166230885,-1.578356708,1.513538749
81.5,79.287173880,83.673863331,-2.212826120,2.173863331,-1.582212831,1.517801019
82.0,79.779997439,84.182955230,-2.220002561,2.182955230,-1.586205096,1.521589992
82.5,80.271773183,84.690601798,-2.228226817,2.190601798,-1.589957714,1.525686339
83.0,80.764833382,85.199445629,-2.235166618,2.199445629,-1.594292602,1.529266455
83.5,81.256182788,85.706339557,-2.243817212,2.206339557,-1.598249296,1.533134328
84.0,81.748495057,86.214064436,-2.251504943,2.214064436,-1.602395412,1.536995224
84.5,82.238753936,86.722437399,-2.261246064,2.222437399,-1.606180484,1.540877441
85.0,82.732427474,87.231076246,-2.267572526,2.231076246,-1.610123478,1.544991893
85.5,83.223779082,87.740026161,-2.276220918,2.240026161,-1.614109426,1.548796526
86.0,83.715209634,88.249119635,-2.284790366,2.249119635,-1.618057659,1.552851226
86.5,84.206604688,88.754786118,-2.293395312,2.254786118,-1.622339113,1.556549602
87.0,84.700885420,89.263236648,-2.299114580,2.263236648,-1.626252946,1.560758676
87.5,85.191814611,89.771264483,-2.308185389,2.271264483,-1.630395137,1.564604709
88.0,85.682114862,90.281677907,-2.317885138,2.281677907,-1.634301833,1.568665863
88.5,86.174933151,90.787744690,-2.325066849,2.287744690,-1.638564412,1.572535595
89.0,86.666970863,91.296188357,-2.333029137,2.296188357,-1.642548085,1.576374427
89.5,87.157675016,91.806808373,-2.342324984,2.306808373,-1.646724725,1.580348311
90.0,87.650528381,92.312159145,-2.349471619,2.312159145,-1.650846804,1.584178535
90.5,88.141922929,92.822974886,-2.358077071,2.322974886,-1.654665477,1.588521650
91.0,88.635165031,93.331703063,-2.364834969,2.331703063,-1.658857953,1.592331768
91.5,89.126326694,93.838353995,-2.373673306,2.338353995,-1.662835887,1.596261753
92.0,89.615460064,94.346318560,-2.384539936,2.346318560,-1.667174912,1.600065655
92.5,90.109573827,94.855383631,-2.390426173,2.355383631,-1.671263618,1.604294358
93.0,90.600870799,95.365296247,-2.399129201,2.365296247,-1.675327971,1.608292351
93.5,91.093530376,95.872477102,-2.406469624,2.372477102,-1.679221657,1.612358180
94.0,91.583061695,96.380235988,-2.416938305,2.380235988,-1.683583478,1.615939326
94.5,92.077329180,96.888238824,-2.422670820,2.388238824,-1.687752244,1.620227560
95.0,92.568033935,97.396861769,-2.431966065,2.396861769,-1.691962789,1.624212421
95.5,93.059126718,97.905494164,-2.440873282,2.405494164,-1.695693004,1.628431758
96.0,93.550326546,98.414317340,-2.449673454,2.414317340,-1.700125934,1.632117339
96.5,94.041927219,98.923032727,-2.458072781,2.423032727,-1.704295373,1.636012470
97.0,94.533209598,99.431118277,-2.466790402,2.431118277,-1.708436334,1.640352087
97.5,95.024135916,99.938894439,-2.475864084,2.438894439,-1.712679218,1.644188981
98.0,95.514314507,100.445968835,-2.485685493,2.445968835,-1.716488123,1.648232720
98.5,96.009175594,100.957157630,-2.490824406,2.457157630,-1.720877351,1.652221254
99.0,96.498230088,101.462170147,-2.501769912,2.462170147,-1.725143519,1.656276161
99.5,96.990880667,101.975910364,-2.509119333,2.475910364,-1.729092068,1.660733063
