case_index,trace,startup_policy,startup_utilization,reset_policy,reset_utilization,curve_time_fraction,cooling_tau_s,rated_current_a,samples,valid_updates,invalid_updates,reset_events,authority_loss_events,first_authority_ms,first_reset_ms,first_post_reset_authority_ms,first_post_reset_exhaust_ms,first_prod_exhaust_ms,first_ref_exhaust_ms,first_prod_recovery_ms,first_ref_recovery_ms,prod_utilization_before_reset,prod_utilization_after_reset_seed,max_prod_utilization,max_ref_utilization,final_prod_utilization,final_ref_utilization,max_state_abs_error,max_state_rel_error,max_cap_abs_error_a,production_underestimate_violations,cap_nonconservative_violations,cap_tolerance_violations,state_tolerance_violations,result_mismatch_violations,latch_mismatch_samples,latch_nonconservative_violations,strict_pass
58,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.75,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338351947,0.271060734987,0.270945196561,0.000118544596966,0.000118544596966,0,0,0,0,0,0,0,0,1
59,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.75,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.188917651772,0.188877962175,0.18699772656,0.186958249366,3.96895970391e-05,3.96895970391e-05,0,0,0,0,0,0,0,0,1
60,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.75,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.1168750301,0.116866112249,0.116342552006,0.116333679056,8.91809602317e-06,8.91809602317e-06,0,0,0,0,0,0,0,0,1
61,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.25,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499583512545,0.49958350689,0.274429798126,0.274314200448,0.000118701304458,0.000118701304458,0,0,0,0,0,0,0,0,1
62,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.25,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499833375216,0.499833361106,0.254986137152,0.25493764823,4.86971408235e-05,4.86971408235e-05,0,0,0,0,0,0,0,0,1
63,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.25,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499916672707,0.499916673609,0.305215626955,0.305213653905,1.99143857388e-06,1.99143857388e-06,0,0,0,0,0,0,0,0,1
64,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.5,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499583512545,0.49958350689,0.274429798126,0.27431416981,0.0001187327786,0.0001187327786,0,0,0,0,0,0,0,0,1
65,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.5,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499833375216,0.499833361106,0.254678368568,0.254626406249,5.23323872909e-05,5.23323872909e-05,0,0,0,0,0,0,0,0,1
66,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.5,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499916672707,0.499916673609,0.300472527742,0.300459472699,1.31450568824e-05,1.31450568824e-05,0,0,0,0,0,0,0,0,1
67,repeated_corner_exit.csv,seeded,0.5,unknown,0.8,0.75,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499583512545,0.49958350689,0.274429798126,0.27431416981,0.000118732778603,0.000118732778603,0,0,0,0,0,0,0,0,1
